"AnoBase","Escolaridade","Idade","Sexo"
"2003","3","460","1"
"2003"," ","308","1"
"2003","3","474","2"
"2003","2","477","2"
"2003","1","439","1"
"2003","1","463","2"
"2003","1","473","1"
"2003","2","462","2"
"2003","3","481","2"
"2003","2","470","1"
"2003","3","440","1"
"2003","2","499","2"
"2003","1","471","2"
"2003","2","472","1"
"2003","2","478","1"
"2003","2","479","2"
"2003","2","468","1"
"2003","3","433","2"
"2003","3","476","1"
"2003","2","445","1"
"2003","9","468","2"
"2003","2","457","1"
"2003","2","472","1"
"2003","2","473","2"
"2003","2","467","1"
"2003","2","456","1"
"2003","2","460","1"
"2003","1","486","2"
"2003","2","476","2"
"2004","1","487","2"
"2004","2","493","1"
"2004","3","470","1"
"2004","1","484","1"
"2004","1","491","1"
"2004","3","480","1"
"2004","2","470","1"
"2004","1","464","1"
"2004","2","477","2"
"2004","9","445","2"
"2004","2","468","1"
"2004","3","474","2"
"2004","2","475","2"
"2004","3","471","1"
"2004","1","483","2"
"2004","2","480","2"
"2004"," ","491","2"
"2004","2","482","2"
"2004","1","494","1"
"2004","3","492","2"
"2004","2","464","2"
"2004","2","474","1"
"2004","9","447","1"
"2004","2","463","1"
"2004","3","481","1"
"2004","3","469","1"
"2004","1","454","1"
"2004","2","485","1"
"2004","3","477","2"
"2004","5","484","1"
"2004","4","478","1"
"2004","3","459","1"
"2004","3","483","2"
"2004","2","463","1"
"2004","3","426","1"
"2004","2","484","1"
"2004","2","469","1"
"2004","2","482","1"
"2004","3","481","1"
"2004","4","480","2"
"2004","4","477","2"
"2004","3","480","1"
"2004","3","465","2"
"2004","2","469","2"
"2004"," ","454","1"
"2004","1","485","2"
"2004","3","467","2"
"2004","2","478","2"
"2004","2","474","2"
"2004","2","451","1"
"2004","3","446","1"
"2004","1","475","2"
"2004","1","487","2"
"2004","2","456","1"
"2004","3","409","2"
"2004","2","471","2"
"2005","1","468","2"
"2005","1","480","2"
"2005","2","476","1"
"2005","2","475","1"
"2005","9","445","1"
"2005"," ","309","1"
"2005","1","470","1"
"2005","2","480","1"
"2005","3","484","2"
"2005","2","495","2"
"2005","3","471","1"
"2005"," ","442","1"
"2005","2","465","1"
"2005","2","463","2"
"2005","9","464","1"
"2005","2","483","1"
"2005","2","460","2"
"2005","2","493","2"
"2005","3","467","1"
"2005","1","421","1"
"2005","2","479","2"
"2005","2","485","1"
"2005","5","463","1"
"2005","1","452","1"
"2005","3","467","2"
"2005","1","484","2"
"2005","1","498","1"
"2005","2","462","1"
"2005","2","474","1"
"2005","3","486","1"
"2005","2","478","2"
"2005","1","487","2"
"2005","2","482","2"
"2005","3","445","2"
"2005","3","472","2"
"2005","2","482","2"
"2005","1","463","1"
"2005","1","116","1"
"2005","2","469","2"
"2005","5","442","2"
"2005","4","475","2"
"2005","2","479","1"
"2005","2","473","1"
"2005","2","475","1"
"2005","2","496","1"
"2005","1","486","2"
"2005","3","451","2"
"2005","1","466","2"
