"Ano Base","Escolaridade","Idade","Sexo"
"1997","Ignorado","20","Masculino"
"1997","Ignorado","70","Feminino"
"1997","Ignorado","64","Masculino"
"1997","Ignorado","41","Masculino"
"1997","Ignorado","23","Masculino"
"1997","Ignorado","25","Masculino"
"1997","Ignorado","30","Masculino"
"1997","Ignorado","46","Feminino"
"1998","Ignorado","50","Masculino"
"1998","Ignorado","43","Feminino"
"1998","Ignorado","63","Masculino"
"1998","Nenhum","64","Masculino"
"1998","Nenhum","76","Feminino"
"1998","Ignorado","74","Feminino"
"1998","Ignorado","85","Masculino"
"1998","Ignorado","81","Masculino"
"1998","Nenhum","69","Masculino"
"1998","Ignorado","37","Masculino"
"1998","Nenhum","80","Feminino"
"1998","Ignorado","76","Masculino"
"1998","Ignorado","80","Masculino"
"1998","Ignorado","53","Feminino"
"1998","Ignorado","83","Feminino"
"1998","Ignorado","86","Masculino"
"1998","Nenhum","63","Masculino"
"1998","Ignorado","90","Masculino"
"1998","Ignorado","56","Masculino"
"1998","Ignorado","80","Masculino"
"1998","Nenhum","72","Feminino"
"1998","Ignorado","85","Masculino"
"1998","Nenhum","70","Masculino"
"1998","Ignorado","50","Masculino"
"1998","Ignorado","68","Feminino"
"1998","Ignorado","83","Masculino"
"1998","Ignorado","62","Masculino"
"1998","Ignorado","55","Feminino"
"1998","Ignorado","39","Feminino"
"1998","Ignorado","83","Masculino"
"1998","Nenhum","63","Feminino"
"1998","Nenhum","75","Masculino"
"1998","Ignorado","30","Masculino"
"1998","Ignorado","67","Masculino"
"1998","Ignorado","60","Feminino"
"1998","Ignorado","54","Masculino"
"1998","Nenhum","0.11","Feminino"
"1998","Ignorado","0.04","Feminino"
"1998","Ignorado","16","Masculino"
"1998","Nenhum","89","Feminino"
"1998","Ignorado","78","Masculino"
"1998","Ignorado","82","Masculino"
"1998","Ignorado","68","Masculino"
"1998","Ignorado","77","Feminino"
"1998","Ignorado","72","Masculino"
"1998","Ignorado","8","Masculino"
"1998","Ignorado","64","Feminino"
"1999","Nenhum","57","Masculino"
"1999","Ignorado","67","Feminino"
"1999","Ignorado","58","Masculino"
"1999","Nenhum","88","Feminino"
"1999","Ignorado","70","Masculino"
"1999","Ignorado","77","Masculino"
"1999","Ignorado","62","Masculino"
"1999","Ignorado","56","Feminino"
"1999","Ignorado","49","Feminino"
"1999","Nenhum","80","Feminino"
"1999","Ignorado","60","Masculino"
"1999","Ignorado","62","Feminino"
"1999","Nenhum","67","Feminino"
"1999","Ignorado","58","Feminino"
"1999","Ignorado","65","Masculino"
"1999","Ignorado","49","Masculino"
"1999","Ignorado","44","Feminino"
"1999","Ignorado","89","Feminino"
"1999","Ignorado","62","Feminino"
"1999","Ignorado","73","Masculino"
"1999","Ignorado","71","Masculino"
"1999","Ignorado","73","Masculino"
"1999","Nenhum","62","Masculino"
"1999","Ignorado","0","Masculino"
"1999","Ignorado","85","Feminino"
"1999","Ignorado","1","Masculino"
"1999","Ignorado","86","Feminino"
"1999","Ignorado","83","Feminino"
"1999","Nenhum","69","Masculino"
"1999","Nenhum","68","Feminino"
"1999","Ignorado","59","Masculino"
"1999","Ignorado","58","Feminino"
"1999","Ignorado","55","Masculino"
"1999","Ignorado","80","Masculino"
"1999","Ignorado","73","Masculino"
"1999","Ignorado","54","Masculino"
"1999","Ignorado","38","Masculino"
"1999","Ignorado","57","Masculino"
"1999","Ignorado","67","Feminino"
"1999","Ignorado","83","Masculino"
"2000","Ignorado","20","Não informado"
"2000","Ignorado","59","Feminino"
"2000","1 a 3 anos","83","Feminino"
"2000","Nenhum","75","Feminino"
"2000","Ignorado","77","Masculino"
"2000","Ignorado","98","Feminino"
"2000","1 a 3 anos","48","Masculino"
"2000","Ignorado","47","Masculino"
"2000","Ignorado","62","Masculino"
"2000","Ignorado","62","Masculino"
"2000","Ignorado","69","Feminino"
"2000","Ignorado","77","Feminino"
"2000","1 a 3 anos","77","Feminino"
"2000","Ignorado","47","Masculino"
"2000","1 a 3 anos","70","Feminino"
"2000","4 a 7 anos","63","Masculino"
"2000","Ignorado","37","Masculino"
"2000","Nenhum","0.03","Feminino"
"2000","Nenhum","82","Feminino"
"2000","1 a 3 anos","69","Masculino"
"2000","Nenhum","87","Feminino"
"2000","Ignorado","82","Feminino"
"2000","Ignorado","96","Feminino"
"2000","Ignorado","98","Feminino"
"2000","4 a 7 anos","45","Masculino"
"2000","4 a 7 anos","86","Masculino"
"2000","12 e mais","47","Masculino"
"2000","Ignorado","51","Masculino"
"2000","Ignorado","80","Feminino"
"2000","Ignorado","70","Masculino"
"2000","Ignorado","78","Feminino"
"2000","Ignorado","91","Feminino"
"2000","Ignorado","73","Feminino"
"2000","Nenhum","77","Masculino"
"2000","1 a 3 anos","67","Feminino"
"2000","1 a 3 anos","78","Masculino"
"2000","Ignorado","53","Feminino"
"2000","Nenhum","55","Feminino"
"2000","Ignorado","65","Feminino"
"2000","Ignorado","62","Masculino"
"2000","Nenhum","0","Feminino"
"2000","Ignorado","43","Masculino"
"2000","Ignorado","67","Masculino"
"2000","Nenhum","77","Masculino"
"2000","Nenhum","92","Masculino"
"2000","Ignorado","46","Masculino"
"2000","Ignorado","51","Masculino"
"2000","4 a 7 anos","39","Masculino"
"2001","Ignorado","80","Feminino"
"2001","Nenhum","0.07","Masculino"
"2001","1 a 3 anos","56","Masculino"
"2001","4 a 7 anos","50","Masculino"
"2001","Nenhum","0","Masculino"
"2001","Ignorado","30","Masculino"
"2001","Ignorado","79","Masculino"
"2001","Ignorado","62","Masculino"
"2001","Ignorado","80","Masculino"
"2001","Ignorado","69","Masculino"
"2001","Ignorado","78","Masculino"
"2001","Ignorado","78","Masculino"
"2001","Ignorado","36","Masculino"
"2001","Ignorado","23","Masculino"
"2001","1 a 3 anos","67","Feminino"
"2001","1 a 3 anos","91","Feminino"
"2001","Nenhum","86","Feminino"
"2001","4 a 7 anos","86","Masculino"
"2001","1 a 3 anos","29","Feminino"
"2001","4 a 7 anos","64","Feminino"
"2001","1 a 3 anos","61","Feminino"
"2001","1 a 3 anos","65","Masculino"
"2001","Nenhum","83","Masculino"
"2001","1 a 3 anos","81","Feminino"
"2001","Ignorado","0","Feminino"
"2001","1 a 3 anos","89","Feminino"
"2001","Ignorado","89","Masculino"
"2001","1 a 3 anos","83","Masculino"
"2001","Ignorado","85","Masculino"
"2001","1 a 3 anos","71","Feminino"
"2001","Nenhum","64","Masculino"
"2001","Ignorado","57","Masculino"
"2001","4 a 7 anos","84","Masculino"
"2001","Ignorado","85","Feminino"
"2002","1 a 3 anos","39","Masculino"
"2002","Ignorado","69","Masculino"
"2002","4 a 7 anos","52","Masculino"
"2002","Nenhum","34","Masculino"
"2002","4 a 7 anos","82","Masculino"
"2002","Nenhum","0.02","Masculino"
"2002","4 a 7 anos","60","Masculino"
"2002","4 a 7 anos","91","Feminino"
"2002","Nenhum","91","Masculino"
"2002","5 a 11 anos","58","Masculino"
"2002","1 a 3 anos","84","Masculino"
"2002","Ignorado","1","Masculino"
"2002","Nenhum","66","Feminino"
"2002","Ignorado","81","Masculino"
"2002","5 a 11 anos","52","Masculino"
"2002","1 a 3 anos","47","Feminino"
"2003","Ignorado","64","Masculino"
"2003","4 a 7 anos","48","Masculino"
"2003","Ignorado","61","Feminino"
"2003","4 a 7 anos","79","Masculino"
"2003","Ignorado","75","Masculino"
"2003","Nenhum","85","Feminino"
"2003","1 a 3 anos","76","Masculino"
"2003","12 e mais","61","Masculino"
"2003","Nenhum","89","Feminino"
"2003","Nenhum","68","Feminino"
"2003","Nenhum","0.01","Masculino"
"2003","Nenhum","57","Masculino"
"2003","4 a 7 anos","26","Masculino"
"2003","1 a 3 anos","78","Feminino"
"2003","1 a 3 anos","74","Masculino"
"2003","Nenhum","92","Feminino"
"2003","1 a 3 anos","84","Feminino"
"2003","4 a 7 anos","63","Feminino"
"2003","Ignorado","74","Feminino"
"2003","1 a 3 anos","83","Feminino"
"2003","1 a 3 anos","92","Feminino"
"2003","4 a 7 anos","57","Masculino"
"2003","Ignorado","45","Feminino"
"2004","4 a 7 anos","79","Feminino"
"2004","4 a 7 anos","85","Feminino"
"2004","1 a 3 anos","42","Feminino"
"2004","4 a 7 anos","56","Masculino"
"2004","1 a 3 anos","76","Feminino"
"2004","4 a 7 anos","74","Masculino"
"2004","4 a 7 anos","58","Masculino"
"2004","Ignorado","29","Masculino"
"2004","5 a 11 anos","75","Feminino"
"2004","1 a 3 anos","69","Feminino"
"2004","4 a 7 anos","50","Masculino"
"2004","1 a 3 anos","76","Masculino"
"2004","Ignorado","68","Masculino"
"2004","Ignorado","66","Feminino"
"2004","Ignorado","87","Feminino"
"2004","Ignorado","58","Feminino"
"2004","Ignorado","66","Feminino"
"2004","Nenhum","68","Masculino"
"2004","Ignorado","83","Masculino"
"2004","1 a 3 anos","59","Masculino"
"2004","Ignorado","72","Masculino"
"2004","Ignorado","94","Masculino"
"2004","4 a 7 anos","88","Feminino"
"2004","Ignorado","0","Masculino"
"2004","4 a 7 anos","89","Masculino"
"2004","Ignorado","51","Masculino"
"2004","1 a 3 anos","98","Masculino"
"2004","1 a 3 anos","87","Masculino"
"2004","1 a 3 anos","93","Feminino"
"2004","1 a 3 anos","78","Feminino"
"2004","1 a 3 anos","60","Feminino"
"2004","4 a 7 anos","48","Masculino"
"2004","1 a 3 anos","75","Masculino"
"2004","1 a 3 anos","78","Masculino"
"2004","1 a 3 anos","58","Masculino"
"2004","1 a 3 anos","65","Masculino"
"2005","1 a 3 anos","45","Feminino"
"2005","1 a 3 anos","45","Masculino"
"2005","4 a 7 anos","50","Masculino"
"2005","Ignorado","31","Masculino"
"2005","Nenhum","78","Feminino"
"2005","Nenhum","46","Masculino"
"2005","Ignorado","42","Masculino"
"2005","1 a 3 anos","82","Masculino"
"2005","Ignorado","19","Masculino"
"2005","Ignorado","47","Masculino"
"2005","Nenhum","48","Masculino"
"2005","Ignorado","60","Masculino"
"2005","1 a 3 anos","90","Feminino"
"2005","Nenhum","68","Feminino"
"2005","Nenhum","66","Masculino"
"2005","Ignorado","89","Masculino"
"2005","5 a 11 anos","54","Masculino"
"2005","Ignorado","73","Masculino"
"2005","Ignorado","52","Masculino"
"2005","Ignorado","79","Feminino"
"2005","Ignorado","47","Masculino"
"2005","Ignorado","64","Feminino"
"2005","Ignorado","45","Masculino"
